Problem Size,Execution Time,Number of Workers,Total CPUs
5000,8.97981333732605,8.0,8.0
5000,11.231196165084839,8.0,8.0
5000,11.30798077583313,8.0,8.0
5000,11.18972110748291,8.0,8.0
5000,11.208008289337158,8.0,8.0
